<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;D;240507;000000;183.45;184.9;181.32;182.37;49429363
AAPL;D;240508;000000;182.85;183.07;181.45;182.75;29780556
AAPL;D;240509;000000;182.56;184.66;182.11;184.62;32136748
AAPL;D;240510;000000;184.9;185.09;182.13;183.01;33138516
AAPL;D;240513;000000;185.435;187.1;184.62;186.285;46539402
AAPL;D;240514;000000;187.51;188.3;186.29;187.39;28337017
AAPL;D;240515;000000;187.91;190.65;187.37;189.74;45225889
AAPL;D;240516;000000;190.47;191.095;189.6601;189.9;32395699
AAPL;D;240517;000000;189.51;190.81;189.31;189.93;23091660
AAPL;D;240520;000000;189.325;191.9199;189.01;191.08;25646981
AAPL;D;240521;000000;191.09;192.73;190.9201;192.35;26196912
AAPL;D;240522;000000;192.265;192.8231;190.27;190.97;20482554
AAPL;D;240523;000000;190.98;191;186.625;186.91;29547569
AAPL;D;240524;000000;188.82;190.58;188.0404;190;23331940
AAPL;D;240528;000000;191.51;193;189.1;190.1;32908888
AAPL;D;240529;000000;189.61;192.247;189.51;190.3;32702548
AAPL;D;240530;000000;190.76;192.18;190.63;191.27;29334462
AAPL;D;240531;000000;191.44;192.57;189.91;192.31;31083809
AAPL;D;240603;000000;192.9;194.99;192.52;194.03;33276125
AAPL;D;240604;000000;194.635;195.32;193.0342;194.34;28283441
AAPL;D;240605;000000;195.4;196.9;194.87;195.86;33417418
AAPL;D;240606;000000;195.685;196.5;194.17;194.48;26214725
AAPL;D;240607;000000;194.65;196.94;194.14;196.92;35722265
AAPL;D;240610;000000;196.9;197.2801;192.15;193.19;69962271
AAPL;D;240611;000000;193.65;207.13;193.63;207.13;131672368
AAPL;D;240612;000000;207.37;220.2;206.9;213.18;151844155
AAPL;D;240613;000000;214.74;216.75;211.6;214.13;61680381
AAPL;D;240614;000000;213.85;215.17;211.3;212.52;45015838
AAPL;D;240617;000000;213.37;218.95;212.72;216.71;62401847
AAPL;D;240618;000000;217.59;218.63;213;214.38;53692251
AAPL;D;240620;000000;213.93;214.24;208.85;209.66;55588262
AAPL;D;240621;000000;210.39;211.89;207.13;207.13;65145803
AAPL;D;240624;000000;207.72;212.7;206.59;208.16;50863560
AAPL;D;240625;000000;209.15;211.38;208.61;209.17;29556396
AAPL;D;240626;000000;211.5;214.86;210.64;213.13;40903911
AAPL;D;240627;000000;214.69;215.7395;212.35;214.09;31666377
AAPL;D;240628;000000;215.77;216.07;210.36;210.49;39859446
AAPL;D;240701;000000;212.09;217.51;211.92;216.72;42388114
AAPL;D;240702;000000;216.15;220.34;215.1;220.34;38056832
AAPL;D;240703;000000;220;221.55;219.03;221.54;24674983
AAPL;D;240705;000000;221.65;226.45;221.65;226.3;40039422
AAPL;D;240708;000000;227.09;227.85;223.25;227.8;38246952
AAPL;D;240709;000000;227.93;229.4;226.3721;228.7;31139205
AAPL;D;240710;000000;229.3;233.07;229.25;232.9;42868059
AAPL;D;240711;000000;231.39;232.39;225.77;227.59;41068733
AAPL;D;240712;000000;228.92;232.64;228.68;230.56;34234371
AAPL;D;240715;000000;236.48;237.23;233.09;234.42;36470564
AAPL;D;240716;000000;235;236.27;232.33;234.81;24511068
AAPL;D;240717;000000;229.45;231.4599;226.64;228.885;33642427
AAPL;D;240718;000000;230.28;230.44;222.27;224.18;39689984
AAPL;D;240719;000000;224.82;226.8;223.275;224.44;25683538
AAPL;D;240722;000000;227.01;227.78;223.09;223.99;27505997
AAPL;D;240723;000000;224.365;226.94;222.68;225.01;22594353
AAPL;D;240724;000000;224;224.8;217.13;218.62;35018766
AAPL;D;240725;000000;218.93;220.85;214.62;217.49;32783596
AAPL;D;240726;000000;218.7;219.49;216.01;218.1;25782773
AAPL;D;240729;000000;216.96;219.3;215.75;218.26;22840636
AAPL;D;240730;000000;219.19;220.325;216.12;218.74;23810500
AAPL;D;240731;000000;221.44;223.82;220.63;222.01;27223247
AAPL;D;240801;000000;224.37;224.48;217.02;218.28;31916724
AAPL;D;240802;000000;219.15;225.6;217.71;219.8;59980281
AAPL;D;240805;000000;199.09;213.5;196.9763;209.3;67580000
AAPL;D;240806;000000;205.3;209.99;201.07;207.13;40067180
AAPL;D;240807;000000;206.9;213.64;206.41;209.86;33802035
AAPL;D;240808;000000;213.11;214.2;208.83;213.35;25828399
AAPL;D;240809;000000;212.1;216.78;211.97;216.3;24347012
AAPL;D;240812;000000;216.07;219.5099;215.6;217.59;22868652
AAPL;D;240813;000000;219.01;221.89;219.01;221.22;21677358
AAPL;D;240814;000000;220.57;223.03;219.7;221.64;22465556
AAPL;D;240815;000000;224.6;225.35;222.76;224.71;22048220
AAPL;D;240816;000000;223.92;226.8271;223.6501;226.1;22128429
AAPL;D;240819;000000;225.72;225.99;223.04;225.91;20617884
AAPL;D;240820;000000;225.77;227.17;225.45;226.54;16178767
AAPL;D;240821;000000;226.52;227.98;225.05;226.36;18581063
AAPL;D;240822;000000;227.79;228.34;223.9;224.58;21370605
AAPL;D;240823;000000;225.6589;228.22;224.33;226.773604;20326868
AAPL;D;240826;000000;226.76;227.26;223.8905;227.26;15727838
AAPL;D;240827;000000;225.995;228.85;224.89;228.09;19312048
AAPL;D;240828;000000;227.92;229.86;225.68;226.54;21827052
